PU-Name,Latitude,Longitude,APC,LP,PDP,NNPP
"UGBOGBO, OZEDI",7.2935608,6.1021262,0,0,0,0
"UGBOGBO, BY CO-OPERATIVE STORE",6.3915226,5.6157155,118,55,32,1
"UGBOGBO, KAJOLA ROAD",7.2935608,6.1021262,138,32,28,0
"UGBOGBO NR.,  OMOKHIDE'S HOUSE",7.2719133,6.1163995,77,77,46,0
"UGBOGBO, SECRETARIAT ROAD",7.291651,6.1023468,49,82,45,0
"UGBOGBO, OFUNAMI MKT. SQUARE",7.2935608,6.1021262,84,47,41,0
"UGBOGBO, OPPOSITE OGOGORO JUNCTION I",7.291651,6.1023468,90,104,37,2
"UGBOGBO, BY LAWANI'S HOUSE",7.2719133,6.1163995,90,81,112,1
"UGBOGBO, NEAR ASHIPA'S COMP.",7.2935608,6.1021262,120,154,40,0
"UGBOGBO, NEAR LAREMOH'S COMP.",7.2935608,6.1021262,53,49,30,0
UTUA NR. GADIMOH'S HOUSE,7.2719133,6.1163995,73,41,76,0
"LAMPESE, LAMPESE MKT. SQ.",7.451283,6.1054373,78,101,9,1
"LAMPESE, UKILEKPE P.S.",7.5474119,6.0891032,31,115,8,0
"LAMPESE,  AFORO QRTS. I",7.455741,6.1077905,0,0,0,0
"LAMPESE,  AFORO QTRS II",7.451749,6.104583,39,118,45,1
"LAMPESE, UKE P/S.",7.452603,6.050806,0,0,0,0
"LAMPESE, BY OLORIEGBE COMP.",7.452603,6.050806,67,100,21,0
"ELEKPI, BY CHIEF OKONDON",7.429925,6.014992,30,60,25,0
"IMOGA, UMAR P/S",7.429925,6.014992,77,19,87,0
"IMOGA,  LEPPER SETTLEMENT",7.429925,6.014992,58,12,49,0
"IMOGA, IMOGA PRIMARY SCHOOL",7.429925,6.014992,142,23,75,0
"IMOGA,  BY CHIEF OBANILU'S COMP.",7.452603,6.050806,136,2,56,0
"EKPE, KEKPUME P.S",7.452603,6.050806,73,164,53,1
"EKPE, BY DISPENSARY",7.429925,6.014992,90,126,57,0
"EKPE,  AHOR P/S.",7.3390255,6.22302,12,48,48,0
"IBILLO, OJAH P/S.",7.4562741,5.9822662,140,73,33,1
"IBILLO, IBILLO P/S.",7.436604,6.077107,150,60,62,0
"IBILLO, BY CHIEF OMOLOJU'S HS",7.436423,6.078723,103,19,38,0
"IBILLO,  BY CHIEF GIWA'S HS.",7.434277,6.075079,143,57,92,0
"IBILLO,  MKT. SQUARE",7.436079,6.07149,80,35,94,0
"IBILLO,  BY OBA'S HS.",7.43772,6.068356,150,60,62,0
"IBILLO,  AZANE P/S.",7.441617,6.071321,84,98,41,0
"IBILL, O EFOLO P/S.",7.44483,6.071734,82,104,43,0
"EKPESA, OYENGBA P/S.",7.423825,6.073502,82,63,122,0
"EKOR, EKOR PRIMARY SCHOOL",7.452202,6.050874,127,117,35,3
"IKIRAN ILE, BY ALAFIN'S HS.",7.420731,6.019415,0,0,0,0
"DANGBALA, DANGBALA P.S. I",7.3390255,6.22302,137,100,33,2
"DANGBALA, OLD DANGBALA COURT HALL",7.3390255,6.22302,147,131,24,0
"MAKEKE, ERESHA P.S.",7.455741,6.1077905,86,49,81,0
"MAKEKE, BY AGBALA'S HOUSE",7.3415685,6.1845209,41,12,68,0
"MAKEKE,  ILETEJU PRIMARY SCHOOL",7.4043892,6.2097253,47,58,34,0
"ANYANWOSA, ANYANWOSA OJUTAIYE",7.3415685,6.1845209,10,57,15,0
"OJAH, OYONBA P.S. I",7.3415685,6.1845209,235,116,39,0
"OJAH, ONYONBA P.S. II",7.3681997,6.2374694,159,136,11,1
"OJAH, BY OBA'S HOUSE I",7.3415685,6.1845209,118,206,10,0
"OJAH,  BY OBA'S HOUSE II",7.3415685,6.1845209,68,120,71,0
"OJAH, OJAH COMM. HIGH SCHOOL",7.3895414,6.2355256,47,123,25,2
"OJIRAMI, DAM P.S.",7.3415685,6.1845209,44,102,22,0
